query,answer,evaluation
What are the symptoms of omikron?,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
What are COVID symptoms?,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
What is the average number of cases per day in Austria?,"There have been 3,627,093 positive cases reported so far in Austria.",WRONG_INTENT
What are the types of Vaccines available in Austria?,"18,126,450 COVID vaccines have been administered so far in Austria.",WRONG_DOMAIN
What is the average number of cases per day in Egypt?,"There have been 500,889 positive cases reported so far in Egypt.",WRONG_INTENT
What are the types of Vaccines available in Egypt?,"74,510,297 COVID vaccines have been administered so far in Egypt.",WRONG_DOMAIN
How many people got vaccinated in Egypt?,"43,194,284 people have been vaccinated against COVID so far in Egypt.",SUCCESS
cases russia february,"There have been 4,491,230 new positive cases in Russia last month.",SUCCESS
cases russia february 2020,There have been 0 new positive cases in Russia in February 2020.,SUCCESS
population france,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
cases france,"There have been 25,112,891 positive cases reported so far in France.",SUCCESS
How many reported cases in Austria today?,"Sorry, I'm afraid I don't have any data on cases from today for Austria. The latest entry is from yesterday. Maybe try a different time period.",SUCCESS
cases february,"There have been 58,084,019 new positive cases in the world last month.",SUCCESS
cases february france,"There have been 3,559,127 new positive cases in France last month.",SUCCESS
How many reported cases in Austria yesterday?,"There have been 41,607 new positive cases in Austria yesterday.",SUCCESS
vaccine types,"11,128,253,338 COVID vaccines have been administered so far in the world.",WRONG_DOMAIN
How many reported cases in Austria on 21st March 2022 ?,"There have been 31,872 new positive cases in Austria 4 days ago.",SUCCESS
How many reported cases in Egypt on 21st March 2022 ?,"There have been 5,516 new positive cases in Egypt 4 days ago.",SUCCESS
How many corona variants now?,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
Vaccines types in Austria,"18,126,450 COVID vaccines have been administered so far in Austria.",WRONG_DOMAIN
types of vaccines in Austria,"18,126,450 COVID vaccines have been administered so far in Austria.",WRONG_DOMAIN
how many COVID related death occurred in Austria since the beginning of the pandemic,"There have been 3,627,093 positive cases reported so far in Austria.",WRONG_DOMAIN
how many people died in Austria due to COVID,"There have been 3,627,093 positive cases reported so far in Austria.",WRONG_DOMAIN
Which country has currently the highest incidence?,"I think I am having some trouble understanding your question, try a different one.",WRONG_DOMAIN
How many positive Covid cases are there today worldwide?,"Sorry, I'm afraid I don't have any data on cases from today for the world. The latest entry is from yesterday. Maybe try a different time period.",SUCCESS
How many positive Covid cases were there yesterday worldwide?,"There have been 1,580,649 new positive cases in the world yesterday.",SUCCESS
Which country has currently the most Covid cases?,The country with the highest number of positive cases is United States.,SUCCESS
covid case in India,"There have been 43,016,372 positive cases reported so far in India.",SUCCESS
how about the vaccination rate?,"11,146,350,628 COVID vaccines have been administered so far in the world.",WRONG_DOMAIN
which country has higher vaccination rate,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
what is the number of covid cases in Hungary yesterday?,"Sorry, I'm afraid I don't have any data on cases from yesterday for Hungary. The latest entry is from 3 days ago. Maybe try a different time period.",SUCCESS
how many people have been vaccinated in Austria?,"6,817,138 people have been vaccinated against COVID so far in Austria.",SUCCESS
which country has had the highest number of daily performed vaccinations last week?,"Sorry, at the moment I can only compare the maximum/minimum between different countries for a single day; if you are asking for a whole week, month or year, I don't support that yet. Try a different question!",SUCCESS
what is the number of new COVID cases in Hungary yesterday?,"Sorry, I'm afraid I don't have any data on cases from yesterday for Hungary. The latest entry is from 3 days ago. Maybe try a different time period.",SUCCESS
how many people got COVID in austria?,"There have been 3,698,511 positive cases reported so far in Austria.",SUCCESS
which country has had the highest number of new vaccinations a week ago?,The country with the highest number of daily performed vaccinations against COVID on March 21st 2022 is China.,SUCCESS
number of cases in China,"There have been 218,890 positive cases reported so far in China.",SUCCESS
number of cases in China last week,"There have been 38,340 new positive cases in China last week.",SUCCESS
how mant people got COVID in Argentinia yesterday,"I think I am having some trouble understanding your question, try a different one.",SUCCESS
how many people got COVID in Argentinia yesterday,"I don't have any data on argentinia, try a different location.",SUCCESS
how many people got COVID in Argentina yesterday,"There have been 1,927 new positive cases in Argentina yesterday.",SUCCESS
How many cases yesterday ,"There have been 1,170,974 new positive cases in the world yesterday.",SUCCESS
How many cases Vienna ,Looks like I can't find any data on vienna in the database.,SUCCESS
How many cases Austria ,"There have been 3,854,405 positive cases reported so far in Austria.",SUCCESS
How many cases in Austria today ,"Sorry, I'm afraid I don't have any data on cases from today for Austria. The latest entry is from yesterday. Maybe try a different time period.",SUCCESS
How many cases in Austria yesterday ,"There have been 23,357 new positive cases in Austria yesterday.",SUCCESS
Inzidenz Austria ,"I think I am having some trouble understanding your question, try a different one.",USER_ERROR
How many cases have there been in China yesterday,"There have been 25,594 new positive cases in China yesterday.",SUCCESS
How many people are vaccinated in China?,"673,651,666 people have been vaccinated against COVID so far in China.",SUCCESS
When have most people been infected in China,The highest number of daily positive cases in China was recorded 2 days ago.,SUCCESS
